Recording date:	2017/11/03
Recording time:	10:36:54
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
0.0	973.4382	700.8855	0	960.5560	707.4539	0	966.9971	704.1697	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
16.7	971.6095	697.5940	0	958.3846	705.7235	0	964.9970	701.6587	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
33.4	974.4085	701.1383	0	964.9953	704.0082	0	969.7019	702.5732	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
50.0	969.9268	707.0164	0	958.8997	712.0326	0	964.4133	709.5245	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
66.6	977.6837	701.3650	0	958.6836	709.6940	0	968.1837	705.5295	
83.4	972.4027	707.8371	0	961.2055	707.6142	0	966.8041	707.7256	
83.4	972.4027	707.8371	0	961.2055	707.6142	0	966.8041	707.7256	
83.4	972.4027	707.8371	0	961.2055	707.6142	0	966.8041	707.7256	
