Recording date:	2017/11/03
Recording time:	11:29:38
Recording resolution	1920 x 1200

TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	964.7135	603.9222	0	935.9904	609.5493	0	950.3519	606.7357	
0.0	964.7135	603.9222	0	935.9904	609.5493	0	950.3519	606.7357	
0.0	964.7135	603.9222	0	935.9904	609.5493	0	950.3519	606.7357	
0.0	964.7135	603.9222	0	935.9904	609.5493	0	950.3519	606.7357	
0.0	964.7135	603.9222	0	935.9904	609.5493	0	950.3519	606.7357	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
16.6	965.2629	613.6081	0	945.9709	599.5328	0	955.6169	606.5705	
