[1509722981.264667, '2']
[1509722981.269948, '2']
[1509722981.276496, '2']
[1509722981.284846, '2']
[1509722981.290161, '2']
[1509722981.30209, '2']
[1509722981.30736, '2']
[1509722981.317531, '2']
[1509722981.322713, '2']
[1509722981.330808, '2']
[1509722981.338549, '2']
[1509722981.345128, '2']
[1509722981.352666, '2']
[1509722981.357847, '2']
[1509722981.365958, '2']
[1509722981.373797, '2']
[1509722981.381223, '2']
[1509722981.387196, '2']
[1509722981.398254, '2']
[1509722981.404249, '2']
[1509722981.415544, '2']
[1509722981.421323, '2']
[1509722981.427633, '2']
[1509722981.438255, '2']
[1509722981.448629, '2']
[1509722981.454043, '2']
[1509722981.460601, '2']
[1509722981.468484, '2']
[1509722981.473855, '2']
[1509722981.485653, '2']
[1509722981.490979, '2']
[1509722981.499177, '2']
[1509722981.506348, '2']
[1509722981.514027, '2']
[1509722981.519204, '2']
[1509722981.525473, '2']
[1509722981.533443, '2']
[1509722981.538863, '2']
[1509722981.546821, '2']
[1509722981.554508, '2']
[1509722981.561789, '2']
[1509722981.567057, '2']
[1509722981.573416, '2']
[1509722981.585598, '2']
[1509722981.590793, '2']
[1509722981.6011, '2']
[1509722981.606374, '2']
[1509722981.614458, '2']
[1509722981.622071, '2']
[1509722981.629568, '2']
[1509722981.63475, '2']
[1509722981.641157, '2']
[1509722981.649551, '2']
[1509722981.655366, '2']
[1509722981.66157, '2']
[1509722981.669391, '2']
[1509722981.674694, '2']
[1509722981.682692, '2']
[1509722981.690038, '2']
[1509722981.697738, '2']
[1509722981.703758, '2']
[1509722981.709978, '2']
[1509722981.717808, '2']
[1509722981.722977, '2']
[1509722981.731113, '2']
[1509722981.738939, '2']
[1509722981.746198, '2']
[1509722981.75138, '2']
[1509722981.757632, '2']
[1509722981.765602, '2']
[1509722981.771142, '2']
[1509722981.77918, '2']
[1509722981.786439, '2']
[1509722981.792833, '2']
[1509722981.800824, '2']
[1509722981.806532, '2']
[1509722981.814041, '2']
[1509722981.821485, '2']
[1509722981.827701, '2']
[1509722981.835737, '2']
[1509722981.841092, '2']
[1509722981.849165, '2']
[1509722981.856688, '2']
[1509722981.923134, '2']
[1509722981.98122, '2']
[1509722982.039384, '2']
[1509722982.097713, '2']
[1509722982.156499, '2']
[1509722982.221894, '2']
[1509722982.285315, '2']
[1509722982.345898, '2']
[1509722982.406777, '2']
[1509722982.467178, '2']
[1509722982.528975, '2']
[1509722982.589297, '2']
[1509722982.647602, '2']
[1509722982.705369, '2']
[1509722982.766859, '2']
[1509722982.82813, '2']
[1509722982.88766, '2']
[1509722982.946285, '2']
[1509722983.008248, '2']
[1509722983.069163, '2']
[1509722983.128834, '2']
[1509722983.187136, '2']
[1509722983.248661, '2']
[1509722983.310257, '2']
[1509722984.705371, '1']
[1509722984.764306, '1']
[1509722984.82968, '1']
[1509722984.892369, '1']
[1509722984.951328, '1']
[1509722985.012814, '1']
[1509722985.071027, '1']
[1509722985.132475, '1']
[1509722985.196513, '1']
[1509722985.25354, '1']
[1509722985.315546, '1']
[1509722985.378776, '1']
[1509722985.446339, '1']
[1509722985.509269, '1']
[1509722985.570323, '1']
[1509722985.634736, '1']
[1509722985.698786, '1']
[1509722985.76507, '1']
[1509722985.82868, '1']
[1509722985.887817, '1']
[1509722985.950144, '1']
[1509722986.014342, '1']
[1509722986.071701, '1']
[1509722986.128729, '1']
[1509722986.186569, '1']
[1509722986.247725, '1']
[1509722986.307517, '1']
[1509722986.369292, '1']
[1509722986.427123, '1']
[1509722986.488771, '1']
[1509722986.55059, '1']
[1509722986.615229, '1']
[1509722986.678102, '1']
[1509722986.741419, '1']
[1509722988.255671, '1']
[1509722988.314535, '1']
[1509722988.376464, '1']
[1509722988.442192, '1']
[1509722988.503652, '1']
[1509722988.565452, '1']
[1509722988.62624, '1']
[1509722988.685055, '1']
[1509722988.750743, '1']
[1509722988.810448, '1']
[1509722988.873546, '1']
[1509722988.934925, '1']
[1509722988.996035, '1']
[1509722989.058553, '1']
[1509722989.117074, '1']
[1509722989.176869, '1']
[1509722989.235591, '1']
[1509722989.300178, '1']
[1509722989.36022, '1']
[1509722989.4252, '1']
[1509722989.493067, '1']
[1509722989.560157, '1']
[1509722989.619197, '1']
[1509722989.680807, '1']
[1509722989.745271, '1']
[1509722989.809829, '1']
[1509722989.872114, '1']
[1509722989.928345, '1']
[1509722989.991876, '1']
[1509722990.054311, '1']
[1509722990.110332, '1']
[1509722990.178652, '1']
[1509722990.239039, '1']
[1509722990.302168, '1']
[1509722990.364607, '1']
[1509722990.425535, '1']
[1509722990.485094, '1']
[1509722990.551637, '1']
[1509722990.613728, '1']
[1509722990.683959, '1']
[1509722990.748684, '1']
[1509722990.819124, '1']
[1509722990.880234, '3']
[1509722990.940935, '3']
[1509722991.001576, '3']
[1509722991.060353, '3']
[1509722991.127979, '3']
[1509722991.191949, '3']
[1509722991.253511, '3']
[1509722991.309305, '3']
[1509722991.377366, '3']
[1509722991.44228, '3']
[1509722991.509371, '3']
[1509722991.568405, '3']
[1509722991.625616, '3']
[1509722991.68436, '3']
[1509722991.744217, '3']
[1509722991.805097, '3']
[1509722991.873848, '3']
[1509722991.935333, '3']
[1509722991.99854, '3']
[1509722992.058052, '3']
[1509722992.124099, '3']
[1509722992.185835, '3']
[1509722992.248624, '3']
[1509722992.309829, '3']
[1509722992.374525, '3']
[1509722992.432027, '3']
[1509722992.490431, '3']
[1509722992.550111, '3']
[1509722992.609718, '3']
[1509722992.673679, '3']
[1509722992.731644, '3']
[1509722992.790179, '3']
[1509722992.849147, '3']
[1509722992.914303, '3']
[1509722992.973251, '3']
[1509722993.039766, '3']
[1509722993.099069, '3']
[1509722993.161386, '3']
[1509722993.222884, '3']
[1509722993.281942, '3']
[1509722993.33999, '3']
[1509722993.401651, '3']
[1509722993.461604, '0']
[1509722993.522598, '0']
[1509722993.591392, '0']
[1509722993.655083, '0']
[1509722993.723822, '0']
[1509722993.781826, '0']
[1509722993.843932, '0']
[1509722993.905643, '0']
[1509722993.971619, '0']
